seed,env_init,schedule,mechanism,sigma,observer,converged,attractor,time_to_sync,sym_var_final,misID_snap,misID_snap_half,misID_snap_post,misID_act,misID_act_post,q_onehot_ok,final_S_A,final_S_B,final_S_C
3,8_8_8,seq_BCA,infer,1.00,memoryless,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_CAB,hard,,none,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_CAB,infer,0.40,filter,1,S=8,13,0.000000,0.133333,0.000000,0.036036,0.140000,0.027027,1,8,8,8
3,8_8_8,seq_CAB,infer,1.00,filter,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_CAB,infer,1.00,memoryless,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_CBA,hard,,none,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_CBA,infer,0.40,filter,1,S=8,34,0.000000,0.233333,0.146667,0.125000,0.226667,0.104167,1,8,8,8
3,8_8_8,seq_CBA,infer,1.00,filter,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,seq_CBA,infer,1.00,memoryless,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,sync,hard,,none,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,sync,infer,0.40,filter,1,S=8,48,0.000000,0.206667,0.053333,0.000000,0.206667,0.000000,1,8,8,8
3,8_8_8,sync,infer,1.00,filter,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,8_8_8,sync,infer,1.00,memoryless,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
4,5_2_6,seq_ABC,hard,,none,1,S=0,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
4,5_2_6,seq_ABC,infer,0.40,filter,0,S=0,,0.222222,0.520000,0.426667,,0.500000,,1,0,0,0
4,5_2_6,seq_ABC,infer,1.00,filter,1,S=0,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
