seed,env_mode,env_init,mechanism,sym_var_init,sym_var_final,sym_var_second_half_mean,collective_var_init,collective_var_final,collective_var_second_half_mean,pairwise_dist_init,pairwise_dist_final,pairwise_dist_second_half_mean,real_var_final,imag_var_final,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged,attractor
5,shared,8_8_8,off,0.000000,0.222222,0.284444,0.000000,0.148148,0.293333,0.000000,0.942809,1.387408,0.000000,0.222222,8,1,7,8,2,8,8,2,8,0,no_conv
5,shared,8_8_8,hard,0.222222,0.000000,0.000000,0.074074,0.370370,0.139259,0.666667,1.745356,0.794799,0.888889,0.222222,8,8,6,6,8,7,6,8,6,1,S=8
5,shared,8_8_8,soft,0.000000,0.000000,0.000000,0.000000,0.370370,0.145185,0.000000,1.745356,0.768992,0.888889,0.222222,8,8,8,6,8,8,6,8,7,1,S=8
5,shared,8_8_8,delayed,0.666667,0.000000,0.000000,0.222222,0.148148,0.142222,1.333333,0.942809,0.808220,0.222222,0.222222,7,8,7,6,8,8,6,8,8,1,S=8
5,shared,8_8_8,noisy,0.222222,0.000000,0.017778,0.074074,0.074074,0.219259,0.666667,0.666667,1.226557,0.000000,0.222222,8,8,7,8,8,8,8,8,8,1,S=8
5,isolated,5_2_6,off,0.000000,4.666667,4.275556,0.074074,4.000000,3.792593,0.666667,5.891869,5.748211,4.666667,2.666667,8,1,6,3,6,8,7,5,4,0,no_conv
5,isolated,5_2_6,hard,0.888889,0.000000,0.000000,0.370370,2.444444,2.444444,1.490712,4.426029,4.426029,4.666667,2.666667,8,0,6,3,0,8,7,0,4,1,S=0
5,isolated,5_2_6,soft,0.000000,0.000000,0.000000,0.074074,2.444444,2.444444,0.666667,4.426029,4.426029,4.666667,2.666667,8,3,6,3,3,8,7,3,4,1,other_conv
5,isolated,5_2_6,delayed,0.888889,0.000000,0.000000,0.370370,2.444444,2.444444,1.490712,4.426029,4.426029,4.666667,2.666667,8,0,6,3,0,8,7,0,4,1,S=0
5,isolated,5_2_6,noisy,0.888889,0.000000,0.053333,0.370370,2.962963,2.314074,1.490712,4.823381,4.211565,4.666667,4.222222,8,0,5,3,0,8,7,0,3,1,S=0
5,isolated,8_8_8,off,0.000000,4.666667,4.844444,0.000000,4.000000,3.985185,0.000000,5.891869,5.883137,4.666667,2.666667,8,1,6,3,6,8,7,5,4,0,no_conv
5,isolated,8_8_8,hard,0.222222,0.000000,0.000000,0.074074,2.074074,2.088889,0.666667,3.933126,3.952842,4.666667,1.555556,8,8,6,3,8,8,7,8,5,1,S=8
5,isolated,8_8_8,soft,0.000000,0.000000,0.000000,0.000000,2.444444,2.198519,0.000000,4.426029,4.098010,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
